,o_basic,h_basic,o_neighbor,h_neighbor,household,relationship,education,marital,aim_o,aim_h
1,27.0,102.0,23.0,2.0,54.5,17348.0,83.3,47.65,56.0,141.0
2,6.0,5.0,220.0,269.0,,,,7,1.0,1.0
3,2.0,0,166.0,132.0,67.7,8869.0,70.9,54.15,19.0,10.0
4,60.0,52.0,205.0,97.0,,,,7,30.0,135.0
5,3.0,3.0,245.0,193.0,67.2,16166.0,86.7,50.6,4.0,0
6,5.0,18.0,79.0,28.0,,,,7,7.0,0
7,133.0,30.0,0,12.0,65.6,12397.0,81.9,53.9,46.0,6.0
8,8.0,41.0,56.0,25.0,45.0,22956.0,78.2,38.8,3.0,5.0
9,60.0,138.0,110.0,158.0,,,,7,40.0,265.0
10,25.0,32.0,162.0,70.0,,,,7,13.0,4.0
11,2.0,9.0,116.0,27.0,54.5,17348.0,83.3,47.65,19.0,24.0
12,66.0,22.0,158.0,122.0,,,,7,125.0,25.0
13,4.0,7.0,26.0,25.0,57.4,41249.0,91.0,45.35,17.0,29.0
14,80.0,152.0,117.0,142.0,,,,7,137.0,168.0
15,4.0,0,148.0,420.0,67.7,8869.0,70.9,54.15,5.0,1.0
16,64.0,64.0,153.0,169.0,,,,7,45.0,32.0
17,30.0,4.0,108.0,100.0,65.6,16039.0,83.9,51.45,42.0,1.0
18,1.0,36.0,237.0,168.0,73.2,56336.0,91.3,57.45,2.0,3.0
19,33.0,0,134.0,510.0,,,,7,14.0,1.0
20,4.0,6.0,91.0,29.0,45.0,22956.0,78.2,38.8,8.0,13.0
21,0,14.0,143.0,45.0,45.0,22956.0,78.2,38.8,4.0,17.0
22,117.0,44.0,79.0,166.0,65.1,14534.0,78.5,53.9,113.0,38.0
23,25.0,24.0,31.0,44.0,65.6,16039.0,83.9,51.45,49.0,7.0
24,295.0,38.0,74.0,190.0,,,,7,209.0,17.0
25,18.0,0,0,0,,,,7,10.0,0
26,149.0,74.0,82.0,457.0,,,,7,182.0,43.0
27,3.0,0,245.0,228.0,62.9,6595.0,78.3,44.650000000000006,4.0,0
28,10.0,0,210.0,182.0,,,,7,13.0,0
29,3.0,1.0,179.0,152.0,,,,7,1.0,0
30,3.0,1.0,277.0,172.0,,,,7,2.0,2.0
31,8.0,0,213.0,196.0,,,,7,12.0,0
32,8.0,0,142.0,581.0,,,,7,2.0,0
33,1.0,0,171.0,153.0,72.2,7016.0,88.4,55.150000000000006,1.0,0
34,13.0,16.0,52.0,60.0,57.7,92916.0,86.9,43.05,22.0,6.0
35,10.0,18.0,177.0,169.0,72.2,7016.0,88.4,55.150000000000006,1.0,1.0
36,63.0,125.0,32.0,29.0,72.2,7016.0,88.4,55.150000000000006,53.0,137.0
37,2.0,17.0,149.0,131.0,67.7,8869.0,70.9,54.15,1.0,12.0
38,16.0,32.0,79.0,17.0,54.5,17348.0,83.3,47.65,3.0,6.0
39,46.0,8.0,240.0,160.0,,,,7,4.0,0
40,9.0,0,17.0,20.0,62.9,6595.0,78.3,44.650000000000006,19.0,0
