,o_basic,h_basic,o_neighbor,h_neighbor,aim_o,aim_h
1,38.0,54.0,1400.0,397.0,60.0,42.0
2,1084.0,3674.0,1619.0,504.0,1567.0,3400.0
3,28.0,113.0,4394.0,1273.0,56.0,119.0
4,13.0,22.0,625.0,220.0,15.0,23.0
5,87.0,424.0,7982.0,3223.0,192.0,464.0
6,192.0,542.0,7009.0,2916.0,33.0,76.0
7,29.0,155.0,4610.0,1366.0,52.0,140.0
8,90.0,367.0,277.0,154.0,122.0,345.0
9,22.0,74.0,2094.0,585.0,27.0,37.0
10,211.0,324.0,7050.0,2846.0,187.0,269.0
11,12.0,13.0,4073.0,1185.0,8.0,11.0
12,26.0,31.0,492.0,182.0,11.0,21.0
13,18.0,51.0,1065.0,319.0,20.0,56.0
14,51.0,67.0,349.0,128.0,109.0,47.0
15,161.0,705.0,2211.0,694.0,206.0,488.0
16,777.0,929.0,6445.0,2280.0,777.0,847.0
17,69.0,205.0,67.0,51.0,114.0,181.0
18,52.0,171.0,4285.0,1246.0,135.0,208.0
19,54.0,50.0,304.0,172.0,60.0,32.0
20,29.0,26.0,48.0,19.0,35.0,11.0
21,111.0,209.0,486.0,174.0,99.0,152.0
22,17.0,54.0,191.0,22.0,38.0,61.0
23,13.0,39.0,2483.0,692.0,2.0,12.0
24,16.0,13.0,62.0,62.0,9.0,32.0
25,123.0,218.0,4223.0,1235.0,136.0,157.0
26,53.0,109.0,31.0,16.0,94.0,96.0
27,2.0,2.0,131.0,66.0,1.0,4.0
28,22.0,23.0,803.0,214.0,25.0,20.0
29,17.0,47.0,329.0,222.0,13.0,20.0
30,21.0,72.0,4439.0,1353.0,27.0,57.0
31,4.0,15.0,411.0,134.0,5.0,12.0
32,58.0,363.0,710.0,163.0,150.0,389.0
33,103.0,512.0,2001.0,593.0,166.0,557.0
34,100.0,354.0,1642.0,442.0,106.0,306.0
35,43.0,142.0,8264.0,3267.0,80.0,159.0
36,25.0,74.0,4144.0,1224.0,31.0,44.0
37,4.0,3.0,947.0,335.0,4.0,4.0
38,131.0,621.0,1440.0,393.0,368.0,658.0
39,22.0,191.0,119.0,44.0,101.0,239.0
40,31.0,16.0,18.0,27.0,55.0,8.0
41,2.0,0,49.0,56.0,4.0,3.0
42,38.0,85.0,296.0,105.0,40.0,41.0
43,71.0,234.0,808.0,217.0,40.0,180.0
44,32.0,28.0,7757.0,3147.0,18.0,70.0
45,1.0,4.0,1394.0,392.0,3.0,6.0
46,29.0,103.0,1481.0,451.0,59.0,180.0
47,22.0,54.0,1344.0,371.0,22.0,56.0
48,1715.0,4985.0,2389.0,1342.0,1980.0,5075.0
49,4.0,37.0,366.0,105.0,8.0,29.0
50,18.0,17.0,135.0,94.0,22.0,22.0
51,10.0,35.0,26.0,30.0,12.0,8.0
52,14.0,29.0,135.0,80.0,29.0,73.0
53,165.0,386.0,1789.0,433.0,230.0,289.0
54,24.0,56.0,218.0,123.0,32.0,66.0
55,4.0,7.0,989.0,244.0,4.0,5.0
56,21.0,59.0,422.0,145.0,35.0,39.0
57,9.0,5.0,16.0,33.0,3.0,1.0
58,108.0,382.0,3868.0,1158.0,162.0,372.0
59,5.0,6.0,826.0,243.0,16.0,27.0
60,106.0,421.0,4255.0,1307.0,211.0,428.0
61,281.0,849.0,1313.0,319.0,303.0,695.0
62,14.0,33.0,419.0,76.0,22.0,26.0
63,5.0,29.0,460.0,89.0,21.0,27.0
64,13.0,27.0,425.0,77.0,30.0,32.0
65,16.0,19.0,0,0,2.0,5.0
