year,state,o_basic_mean,h_basic_mean,o_neighbor_mean,h_neighbor_mean
2010,VA,56.647619047619045,20.876190476190477,468.5047619047619,210.72380952380954
2010,KY,135.86206896551724,24.31896551724138,1200.301724137931,234.25
2010,OH,297.34090909090907,137.75,2277.159090909091,984.7386363636364
2010,PA,505.5820895522388,361.53731343283584,3682.1641791044776,2503.686567164179
2010,WV,796.8444444444444,558.3111111111111,5696.444444444444,3811.177777777778
2011,VA,53.9126213592233,11.504854368932039,418.6019417475728,114.81553398058253
2011,KY,127.68376068376068,17.811965811965813,1103.905982905983,161.88888888888889
2011,OH,272.64044943820227,147.0561797752809,2106.191011235955,983.8314606741573
2011,PA,492.530303030303,376.1212121212121,3601.1666666666665,2512.9848484848485
2011,WV,710.6734693877551,525.734693877551,5085.102040816327,3480.816326530612
2012,VA,55.64545454545455,15.536363636363637,467.55454545454546,174.04545454545453
2012,KY,124.1025641025641,34.427350427350426,1099.4700854700855,328.0940170940171
2012,OH,258.7865168539326,209.67415730337078,2036.247191011236,1387.5955056179776
2012,PA,446.34328358208955,473.8358208955224,3324.4328358208954,3132.8805970149256
2012,WV,668.125,685.7708333333334,4871.395833333333,4510.1875
2013,VA,60.109243697478995,36.63025210084034,529.453781512605,403.9075630252101
2013,KY,121.71551724137932,73.56896551724138,1115.603448275862,746.9137931034483
2013,OH,257.07954545454544,305.3863636363636,2069.9772727272725,2202.284090909091
2013,PA,428.3333333333333,630.5909090909091,3269.530303030303,4391.106060606061
2013,WV,661.8695652173913,944.6086956521739,4923.95652173913,6526.152173913043
2014,VA,55.838095238095235,29.457142857142856,420.5809523809524,295.6
2014,KY,106.61864406779661,63.17796610169491,895.4491525423729,610.6101694915254
2014,OH,259.67045454545456,318.6931818181818,1937.6022727272727,2186.284090909091
2014,PA,443.95454545454544,704.469696969697,3184.7727272727275,4733.954545454545
2014,WV,738.3333333333334,1143.1190476190477,5195.666666666667,7611.071428571428
2015,VA,49.29245283018868,33.801886792452834,391.24528301886795,359.10377358490564
2015,KY,93.5677966101695,64.64406779661017,789.0338983050848,643.0084745762712
2015,OH,278.8876404494382,348.03370786516854,1974.943820224719,2372.2359550561796
2015,PA,477.3787878787879,756.6515151515151,3285.530303030303,5023.969696969697
2015,WV,803.0,1245.658536585366,5431.585365853659,8212.878048780487
2016,VA,50.69230769230769,36.376068376068375,467.6068376068376,427.8974358974359
2016,KY,100.69642857142857,71.03571428571429,906.9464285714286,751.9910714285714
2016,OH,369.3370786516854,323.96629213483146,2540.4044943820227,2277.921348314607
2016,PA,619.044776119403,692.4179104477612,4168.746268656716,4696.3432835820895
2016,WV,1097.6923076923076,1219.2564102564102,7293.897435897436,8208.794871794871
2017,VA,0.0,0.0,0.0,0.0
2017,KY,0.0,0.0,0.0,0.0
2017,OH,0.0,0.0,0.0,0.0
2017,PA,0.0,0.0,0.0,0.0
2017,WV,0.0,0.0,0.0,0.0
