,o_basic,h_basic,o_neighbor,h_neighbor,aim_o,aim_h
1,19.0,0,3.0,135.0,24.0,1.0
2,17.0,0,3.0,232.0,91.0,0
3,40.0,0,38.0,1109.0,6.0,15.0
4,1.0,0,5.0,104.0,1.0,0
5,99.0,3.0,0,131.0,74.0,0
6,67.0,0,23.0,1121.0,51.0,3.0
7,125.0,0,3.0,942.0,164.0,0
8,82.0,55.0,446.0,495.0,72.0,160.0
9,27.0,1.0,79.0,1450.0,45.0,5.0
10,314.0,40.0,1.0,282.0,184.0,60.0
11,38.0,1.0,30.0,1111.0,43.0,0
12,21.0,3.0,188.0,375.0,17.0,21.0
13,14.0,0,12.0,1363.0,68.0,1.0
14,4.0,0,2.0,189.0,9.0,0
15,140.0,4.0,249.0,1769.0,87.0,34.0
16,1.0,0,3.0,195.0,12.0,0
17,8.0,0,4.0,198.0,39.0,0
18,24.0,0,5.0,134.0,18.0,0
19,158.0,156.0,337.0,485.0,133.0,318.0
20,67.0,23.0,74.0,356.0,60.0,62.0
21,149.0,0,42.0,718.0,175.0,10.0
22,24.0,2.0,11.0,675.0,28.0,0
23,53.0,2.0,5.0,143.0,24.0,1.0
24,171.0,6.0,40.0,1510.0,52.0,31.0
25,163.0,0,4.0,1770.0,93.0,0
26,5.0,0,4.0,122.0,8.0,0
27,7.0,0,3.0,131.0,9.0,0
28,8.0,0,4.0,185.0,1.0,0
29,57.0,0,1.0,19.0,39.0,3.0
30,28.0,0,4.0,276.0,14.0,0
31,45.0,0,44.0,1060.0,11.0,0
32,11.0,0,23.0,1275.0,45.0,0
33,432.0,23.0,16.0,979.0,435.0,138.0
34,41.0,0,34.0,949.0,51.0,9.0
35,150.0,3.0,2.0,650.0,75.0,8.0
36,110.0,3.0,73.0,1024.0,103.0,3.0
37,11.0,0,5.0,104.0,16.0,0
38,11.0,0,505.0,752.0,21.0,6.0
39,30.0,0,41.0,1689.0,25.0,0
40,28.0,4.0,503.0,775.0,44.0,18.0
41,50.0,0,5.0,109.0,37.0,2.0
42,34.0,0,0,39.0,31.0,2.0
43,7.0,0,5.0,247.0,11.0,0
44,66.0,1.0,40.0,573.0,100.0,10.0
45,119.0,2.0,252.0,1811.0,103.0,4.0
46,303.0,0,0,955.0,472.0,1.0
47,19.0,1.0,229.0,1371.0,48.0,8.0
48,16.0,1.0,2.0,216.0,14.0,0
49,9.0,1.0,0,84.0,3.0,3.0
50,5.0,0,42.0,608.0,11.0,2.0
51,2.0,0,5.0,114.0,1.0,0
52,74.0,2.0,2.0,101.0,70.0,0
53,107.0,0,8.0,1278.0,60.0,0
54,1538.0,238.0,15.0,347.0,1100.0,758.0
