,o_basic,h_basic,o_neighbor,h_neighbor,household,relationship,education,marital,aim_o,aim_h
1,2.0,0,361.0,174.0,,,,7,1.0,0
2,27.0,146.0,15.0,20.0,57.8,17300.0,84.1,45.900000000000006,64.0,210.0
3,40.0,0,73.0,645.0,,,,7,46.0,0
4,61.0,0,36.0,134.0,,,,7,35.0,0
5,143.0,23.0,93.0,339.0,,,,7,285.0,129.0
6,8.0,0,165.0,231.0,,,,7,1.0,0
7,3.0,0,113.0,101.0,60.9,42870.0,89.1,49.25,2.0,5.0
8,9.0,0,1.0,175.0,,,,7,8.0,0
9,24.0,2.0,33.0,16.0,,,,7,2.0,0
10,18.0,0,12.0,61.0,63.0,12543.0,75.7,49.3,69.0,0
11,13.0,3.0,31.0,27.0,,,,7,24.0,5.0
12,18.0,35.0,355.0,235.0,,,,7,24.0,15.0
13,12.0,0,81.0,84.0,71.8,5753.0,84.0,65.95,33.0,29.0
14,10.0,12.0,149.0,37.0,57.8,17300.0,84.1,45.900000000000006,11.0,3.0
15,137.0,0,72.0,460.0,,,,7,147.0,0
16,13.0,79.0,27.0,68.0,60.9,42870.0,89.1,49.25,20.0,1.0
17,268.0,72.0,44.0,493.0,,,,7,341.0,247.0
18,25.0,0,27.0,320.0,,,,7,37.0,6.0
19,45.0,100.0,267.0,162.0,,,,7,38.0,64.0
20,23.0,7.0,156.0,121.0,68.5,16697.0,82.5,59.25,36.0,11.0
21,17.0,21.0,95.0,456.0,75.9,54626.0,88.9,61.4,7.0,1.0
22,27.0,0,14.0,638.0,71.9,23984.0,72.7,58.0,27.0,0
23,3.0,29.0,6.0,37.0,,,,7,6.0,13.0
24,10.0,3.0,158.0,37.0,,,,7,12.0,24.0
25,82.0,1.0,14.0,247.0,66.6,15007.0,76.6,55.8,57.0,4.0
26,65.0,27.0,90.0,45.0,68.5,16697.0,82.5,59.25,54.0,65.0
27,326.0,0,26.0,203.0,71.9,23984.0,72.7,58.0,364.0,9.0
28,17.0,0,1.0,0,67.9,26703.0,81.1,54.75,48.0,0
29,169.0,14.0,13.0,467.0,71.9,23984.0,72.7,58.0,173.0,20.0
30,2.0,0,89.0,110.0,,,,7,3.0,0
31,4.0,0,73.0,375.0,,,,7,5.0,0
32,9.0,219.0,141.0,73.0,,,,7,35.0,7.0
33,35.0,0,12.0,44.0,63.0,12543.0,75.7,49.3,10.0,0
34,8.0,5.0,356.0,168.0,,,,7,14.0,3.0
35,119.0,0,72.0,445.0,,,,7,15.0,0
36,33.0,0,116.0,480.0,,,,7,19.0,8.0
37,0,1.0,37.0,131.0,,,,7,17.0,0
38,94.0,1.0,141.0,142.0,,,,7,64.0,11.0
39,1.0,12.0,14.0,573.0,70.1,13402.0,75.7,60.75,12.0,9.0
40,2.0,25.0,46.0,58.0,,,,7,2.0,11.0
41,21.0,0,23.0,143.0,60.9,93454.0,85.7,47.9,37.0,0
42,6.0,4.0,94.0,118.0,,,,7,8.0,19.0
43,6.0,0,14.0,724.0,67.4,73949.0,78.4,52.25,10.0,0
44,29.0,60.0,0,18.0,,,,7,15.0,4.0
