,o_basic,h_basic,o_neighbor,h_neighbor,aim_o,aim_h
1,2.0,0,361.0,174.0,1.0,0
2,27.0,146.0,15.0,20.0,64.0,210.0
3,40.0,0,73.0,645.0,46.0,0
4,61.0,0,36.0,134.0,35.0,0
5,143.0,23.0,93.0,339.0,285.0,129.0
6,8.0,0,165.0,231.0,1.0,0
7,3.0,0,113.0,101.0,2.0,5.0
8,9.0,0,1.0,175.0,8.0,0
9,24.0,2.0,33.0,16.0,2.0,0
10,18.0,0,12.0,61.0,69.0,0
11,13.0,3.0,31.0,27.0,24.0,5.0
12,18.0,35.0,355.0,235.0,24.0,15.0
13,12.0,0,81.0,84.0,33.0,29.0
14,10.0,12.0,149.0,37.0,11.0,3.0
15,137.0,0,72.0,460.0,147.0,0
16,13.0,79.0,27.0,68.0,20.0,1.0
17,268.0,72.0,44.0,493.0,341.0,247.0
18,25.0,0,27.0,320.0,37.0,6.0
19,45.0,100.0,267.0,162.0,38.0,64.0
20,23.0,7.0,156.0,121.0,36.0,11.0
21,17.0,21.0,95.0,456.0,7.0,1.0
22,27.0,0,14.0,638.0,27.0,0
23,3.0,29.0,6.0,37.0,6.0,13.0
24,10.0,3.0,158.0,37.0,12.0,24.0
25,82.0,1.0,14.0,247.0,57.0,4.0
26,65.0,27.0,90.0,45.0,54.0,65.0
27,326.0,0,26.0,203.0,364.0,9.0
28,17.0,0,1.0,0,48.0,0
29,169.0,14.0,13.0,467.0,173.0,20.0
30,2.0,0,89.0,110.0,3.0,0
31,4.0,0,73.0,375.0,5.0,0
32,9.0,219.0,141.0,73.0,35.0,7.0
33,35.0,0,12.0,44.0,10.0,0
34,8.0,5.0,356.0,168.0,14.0,3.0
35,119.0,0,72.0,445.0,15.0,0
36,33.0,0,116.0,480.0,19.0,8.0
37,0,1.0,37.0,131.0,17.0,0
38,94.0,1.0,141.0,142.0,64.0,11.0
39,1.0,12.0,14.0,573.0,12.0,9.0
40,2.0,25.0,46.0,58.0,2.0,11.0
41,21.0,0,23.0,143.0,37.0,0
42,6.0,4.0,94.0,118.0,8.0,19.0
43,6.0,0,14.0,724.0,10.0,0
44,29.0,60.0,0,18.0,15.0,4.0
