,o_basic,h_basic,o_neighbor,h_neighbor,aim_o,aim_h
1,60.0,42.0,1264.0,471.0,37.0,43.0
2,1567.0,3400.0,1536.0,818.0,2759.0,1894.0
3,56.0,119.0,4075.0,1900.0,49.0,34.0
4,15.0,23.0,521.0,235.0,13.0,8.0
5,192.0,464.0,7551.0,3569.0,271.0,292.0
6,33.0,76.0,7101.0,3320.0,58.0,63.0
7,52.0,140.0,4290.0,2083.0,111.0,107.0
8,122.0,345.0,208.0,130.0,81.0,84.0
9,27.0,37.0,1787.0,790.0,26.0,39.0
10,187.0,269.0,6691.0,3080.0,287.0,276.0
11,8.0,11.0,3758.0,1741.0,18.0,12.0
12,11.0,21.0,441.0,209.0,27.0,13.0
13,20.0,56.0,1009.0,624.0,22.0,14.0
14,109.0,47.0,261.0,189.0,61.0,20.0
15,206.0,488.0,1953.0,852.0,542.0,603.0
16,777.0,847.0,6113.0,2490.0,958.0,709.0
17,114.0,181.0,47.0,109.0,184.0,132.0
18,135.0,208.0,3956.0,1812.0,168.0,108.0
19,60.0,32.0,215.0,145.0,105.0,33.0
20,35.0,11.0,40.0,32.0,13.0,2.0
21,99.0,152.0,420.0,210.0,189.0,119.0
22,38.0,61.0,239.0,102.0,28.0,7.0
23,2.0,12.0,2119.0,861.0,6.0,11.0
24,9.0,32.0,41.0,71.0,11.0,39.0
25,136.0,157.0,3951.0,1837.0,208.0,97.0
26,94.0,96.0,77.0,30.0,108.0,39.0
27,1.0,4.0,119.0,109.0,5.0,1.0
28,25.0,20.0,800.0,373.0,17.0,15.0
29,13.0,20.0,250.0,207.0,46.0,23.0
30,27.0,57.0,4115.0,1978.0,38.0,21.0
31,5.0,12.0,401.0,146.0,49.0,11.0
32,150.0,389.0,743.0,441.0,198.0,310.0
33,166.0,557.0,1543.0,677.0,467.0,609.0
34,106.0,306.0,1346.0,604.0,305.0,256.0
35,80.0,159.0,7856.0,3681.0,66.0,143.0
36,31.0,44.0,3828.0,1829.0,68.0,29.0
37,4.0,4.0,834.0,376.0,16.0,12.0
38,368.0,658.0,1394.0,700.0,558.0,467.0
39,101.0,239.0,128.0,68.0,138.0,145.0
40,55.0,8.0,36.0,16.0,13.0,6.0
41,4.0,3.0,32.0,71.0,3.0,6.0
42,40.0,41.0,231.0,192.0,41.0,50.0
43,40.0,180.0,939.0,384.0,73.0,171.0
44,18.0,70.0,7287.0,3375.0,27.0,26.0
45,3.0,6.0,1133.0,584.0,8.0,3.0
46,59.0,180.0,1015.0,398.0,32.0,68.0
47,22.0,56.0,1083.0,564.0,38.0,47.0
48,1980.0,5075.0,1885.0,1287.0,4492.0,4664.0
49,8.0,29.0,387.0,120.0,16.0,17.0
50,22.0,22.0,156.0,122.0,51.0,17.0
51,12.0,8.0,11.0,35.0,16.0,5.0
52,29.0,73.0,149.0,136.0,26.0,20.0
53,230.0,289.0,1570.0,725.0,234.0,181.0
54,32.0,66.0,157.0,136.0,48.0,37.0
55,1.0,0,1020.0,530.0,1.0,0
56,4.0,5.0,831.0,387.0,16.0,9.0
57,35.0,39.0,361.0,256.0,51.0,26.0
58,3.0,1.0,11.0,59.0,4.0,2.0
59,162.0,372.0,3628.0,1727.0,242.0,152.0
60,16.0,27.0,615.0,302.0,34.0,33.0
61,211.0,428.0,3893.0,1863.0,211.0,158.0
62,303.0,695.0,1103.0,438.0,569.0,599.0
63,22.0,26.0,448.0,201.0,51.0,84.0
64,21.0,27.0,476.0,210.0,11.0,8.0
65,30.0,32.0,442.0,193.0,9.0,20.0
66,2.0,5.0,0,0,10.0,7.0
