,o_basic,h_basic,o_neighbor,h_neighbor,household,relationship,education,marital,aim_o,aim_h
1,60.0,42.0,1264.0,471.0,69.4,431854.0,88.5,52.6,37.0,43.0
2,1567.0,3400.0,1536.0,818.0,66.6,351019.0,93.0,54.3,2759.0,1894.0
3,56.0,119.0,4075.0,1900.0,66.6,351019.0,93.0,54.3,49.0,34.0
4,15.0,23.0,521.0,235.0,67.6,40667.0,88.6,51.0,13.0,8.0
5,192.0,464.0,7551.0,3569.0,53.3,1509742.0,82.6,29.7,271.0,292.0
6,33.0,76.0,7101.0,3320.0,53.3,1509742.0,82.6,29.7,58.0,63.0
7,52.0,140.0,4290.0,2083.0,66.6,351019.0,93.0,54.3,111.0,107.0
8,122.0,345.0,208.0,130.0,67.2,43790.0,89.1,55.05,81.0,84.0
9,27.0,37.0,1787.0,790.0,69.2,289664.0,90.4,51.15,26.0,39.0
10,187.0,269.0,6691.0,3080.0,53.3,1509742.0,82.6,29.7,287.0,276.0
11,8.0,11.0,3758.0,1741.0,67.9,52244.0,88.9,53.5,18.0,12.0
12,11.0,21.0,441.0,209.0,67.2,43790.0,89.1,55.05,27.0,13.0
13,20.0,56.0,1009.0,624.0,61.4,5843.0,89.0,51.25,22.0,14.0
14,109.0,47.0,261.0,189.0,67.9,52244.0,88.9,53.5,61.0,20.0
15,206.0,488.0,1953.0,852.0,69.4,431854.0,88.5,52.6,542.0,603.0
16,777.0,847.0,6113.0,2490.0,53.3,1509742.0,82.6,29.7,958.0,709.0
17,114.0,181.0,47.0,109.0,67.0,83574.0,88.3,51.65,184.0,132.0
18,135.0,208.0,3956.0,1812.0,66.2,202915.0,91.8,52.650000000000006,168.0,108.0
19,60.0,32.0,215.0,145.0,67.0,45934.0,83.1,52.650000000000006,105.0,33.0
20,35.0,11.0,40.0,32.0,72.4,38068.0,82.9,52.6,13.0,2.0
21,99.0,152.0,420.0,210.0,67.6,40667.0,88.6,51.0,189.0,119.0
22,38.0,61.0,239.0,102.0,61.4,5843.0,89.0,51.25,28.0,7.0
23,2.0,12.0,2119.0,861.0,69.4,431854.0,88.5,52.6,6.0,11.0
24,9.0,32.0,41.0,71.0,64.0,39530.0,89.6,46.1,11.0,39.0
25,136.0,157.0,3951.0,1837.0,66.6,351019.0,93.0,54.3,208.0,97.0
26,94.0,96.0,77.0,30.0,70.7,45051.0,88.3,57.2,108.0,39.0
27,1.0,4.0,119.0,109.0,69.1,150524.0,86.5,55.15,5.0,1.0
28,25.0,20.0,800.0,373.0,66.6,351019.0,93.0,54.3,17.0,15.0
29,13.0,20.0,250.0,207.0,67.0,45934.0,83.1,52.650000000000006,46.0,23.0
30,27.0,57.0,4115.0,1978.0,66.6,351019.0,93.0,54.3,38.0,21.0
31,5.0,12.0,401.0,146.0,58.4,3048.0,80.8,42.6,49.0,11.0
32,150.0,389.0,743.0,441.0,67.4,27271.0,91.6,51.0,198.0,310.0
33,166.0,557.0,1543.0,677.0,69.4,431854.0,88.5,52.6,467.0,609.0
34,106.0,306.0,1346.0,604.0,64.8,138391.0,87.9,48.900000000000006,305.0,256.0
35,80.0,159.0,7856.0,3681.0,53.3,1509742.0,82.6,29.7,66.0,143.0
36,31.0,44.0,3828.0,1829.0,67.9,52244.0,88.9,53.5,68.0,29.0
37,4.0,4.0,834.0,376.0,69.4,431854.0,88.5,52.6,16.0,12.0
38,368.0,658.0,1394.0,700.0,61.4,5843.0,89.0,51.25,558.0,467.0
39,101.0,239.0,128.0,68.0,67.7,35603.0,85.2,47.0,138.0,145.0
40,55.0,8.0,36.0,16.0,64.1,39896.0,91.2,53.55,13.0,6.0
41,4.0,3.0,32.0,71.0,64.1,39896.0,91.2,53.55,3.0,6.0
42,40.0,41.0,231.0,192.0,66.4,86217.0,89.5,50.5,41.0,50.0
43,40.0,180.0,939.0,384.0,72.1,55761.0,90.7,54.3,73.0,171.0
44,18.0,70.0,7287.0,3375.0,53.3,1509742.0,82.6,29.7,27.0,26.0
45,3.0,6.0,1133.0,584.0,67.7,35603.0,85.2,47.0,8.0,3.0
46,59.0,180.0,1015.0,398.0,72.1,55761.0,90.7,54.3,32.0,68.0
47,22.0,56.0,1083.0,564.0,67.7,35603.0,85.2,47.0,38.0,47.0
48,1980.0,5075.0,1885.0,1287.0,68.5,794078.0,93.9,54.150000000000006,4492.0,4664.0
49,8.0,29.0,387.0,120.0,67.5,47387.0,89.9,50.45,16.0,17.0
50,22.0,22.0,156.0,122.0,72.4,38068.0,82.9,52.6,51.0,17.0
51,12.0,8.0,11.0,35.0,66.5,37344.0,87.6,48.4,16.0,5.0
52,29.0,73.0,149.0,136.0,72.4,38068.0,82.9,52.6,26.0,20.0
53,230.0,289.0,1570.0,725.0,63.5,89099.0,85.8,49.8,234.0,181.0
54,32.0,66.0,157.0,136.0,62.4,129514.0,87.4,46.45,48.0,37.0
55,1.0,0,1020.0,530.0,61.9,17671.0,89.8,49.85,1.0,0
56,4.0,5.0,831.0,387.0,72.4,38068.0,82.9,52.6,16.0,9.0
57,35.0,39.0,361.0,256.0,66.4,86217.0,89.5,50.5,51.0,26.0
58,3.0,1.0,11.0,59.0,58.4,3048.0,80.8,42.6,4.0,2.0
59,162.0,372.0,3628.0,1727.0,66.3,33689.0,86.7,48.2,242.0,152.0
60,16.0,27.0,615.0,302.0,67.7,35603.0,85.2,47.0,34.0,33.0
61,211.0,428.0,3893.0,1863.0,62.7,81602.0,89.0,48.349999999999994,211.0,158.0
62,303.0,695.0,1103.0,438.0,68.9,24514.0,82.4,55.05,569.0,599.0
63,22.0,26.0,448.0,201.0,67.4,27271.0,91.6,51.0,51.0,84.0
64,21.0,27.0,476.0,210.0,67.4,27271.0,91.6,51.0,11.0,8.0
65,30.0,32.0,442.0,193.0,67.5,47387.0,89.9,50.45,9.0,20.0
66,2.0,5.0,0,0,67.3,41052.0,89.1,52.1,10.0,7.0
