,o_basic,h_basic,o_neighbor,h_neighbor,household,relationship,education,marital,aim_o,aim_h
1,20.0,0,46.0,114.0,64.6,24165.0,84.1,44.3,15.0,2.0
2,23.0,1.0,12.0,113.0,64.6,114023.0,87.7,46.55,20.0,0
3,6.0,16.0,780.0,703.0,70.4,25270.0,88.1,56.5,7.0,13.0
4,1.0,0,12.0,65.0,60.1,64005.0,87.8,48.8,0,1.0
5,36.0,1.0,12.0,82.0,64.6,114023.0,87.7,46.55,45.0,3.0
6,11.0,7.0,375.0,551.0,66.0,7095.0,69.5,48.9,21.0,12.0
7,207.0,6.0,7.0,435.0,69.5,10613.0,63.7,50.1,170.0,2.0
8,105.0,164.0,833.0,539.0,73.0,14269.0,84.7,57.2,156.0,114.0
9,16.0,9.0,747.0,785.0,74.4,49951.0,90.0,57.35,15.0,8.0
10,69.0,54.0,69.0,126.0,70.7,15760.0,77.7,57.650000000000006,106.0,52.0
11,58.0,58.0,550.0,540.0,70.4,25270.0,88.1,56.5,75.0,47.0
12,20.0,3.0,58.0,620.0,66.0,7095.0,69.5,48.9,9.0,2.0
13,3.0,1.0,42.0,98.0,71.1,23852.0,79.2,56.05,3.0,4.0
14,27.0,36.0,1115.0,656.0,68.0,11584.0,82.2,49.75,43.0,36.0
15,18.0,1.0,21.0,185.0,64.6,114023.0,87.7,46.55,6.0,0
16,12.0,0,13.0,174.0,70.1,12969.0,78.5,55.349999999999994,8.0,2.0
17,31.0,5.0,14.0,128.0,70.4,14163.0,84.2,57.849999999999994,14.0,2.0
18,209.0,383.0,717.0,493.0,60.6,2131.0,74.9,54.85,287.0,247.0
19,21.0,17.0,446.0,381.0,70.4,25270.0,88.1,56.5,38.0,14.0
20,43.0,44.0,139.0,202.0,60.0,21393.0,81.0,39.400000000000006,46.0,32.0
21,19.0,2.0,214.0,522.0,64.7,20268.0,70.8,48.3,7.0,0
22,43.0,2.0,4.0,99.0,70.1,12969.0,78.5,55.349999999999994,20.0,3.0
23,89.0,30.0,848.0,854.0,74.4,49951.0,90.0,57.35,59.0,30.0
24,61.0,1.0,22.0,994.0,74.2,34042.0,77.4,49.45,3.0,1.0
25,21.0,0,14.0,140.0,64.7,20268.0,70.8,48.3,17.0,0
26,24.0,7.0,40.0,163.0,64.7,20268.0,70.8,48.3,9.0,1.0
27,40.0,10.0,31.0,66.0,71.1,23852.0,79.2,56.05,17.0,2.0
28,11.0,0,24.0,167.0,64.6,114023.0,87.7,46.55,16.0,0
29,7.0,0,183.0,295.0,66.0,7095.0,69.5,48.9,5.0,1.0
30,37.0,16.0,347.0,526.0,66.0,7095.0,69.5,48.9,36.0,14.0
31,258.0,351.0,644.0,679.0,70.4,25270.0,88.1,56.5,563.0,375.0
32,13.0,7.0,212.0,358.0,60.0,21393.0,81.0,39.400000000000006,28.0,7.0
33,173.0,0,5.0,319.0,68.9,61640.0,75.0,53.650000000000006,147.0,1.0
34,71.0,97.0,741.0,613.0,70.4,25270.0,88.1,56.5,59.0,54.0
35,6.0,1.0,12.0,65.0,60.1,64005.0,87.8,48.8,16.0,7.0
36,1.0,3.0,1273.0,845.0,64.7,8698.0,83.2,57.05,2.0,2.0
37,9.0,13.0,762.0,895.0,70.4,25270.0,88.1,56.5,16.0,11.0
38,53.0,45.0,1249.0,829.0,70.4,25270.0,88.1,56.5,45.0,26.0
39,34.0,1.0,19.0,83.0,71.1,30659.0,85.9,59.7,30.0,2.0
40,11.0,4.0,7.0,72.0,71.1,23852.0,79.2,56.05,9.0,3.0
41,1.0,0,63.0,168.0,68.0,11584.0,82.2,49.75,8.0,1.0
42,50.0,21.0,110.0,151.0,71.3,13500.0,74.8,56.650000000000006,30.0,4.0
43,0,3.0,18.0,106.0,71.1,23852.0,79.2,56.05,3.0,0
44,35.0,32.0,1082.0,641.0,81.0,59635.0,92.8,57.65,45.0,30.0
45,165.0,1.0,12.0,728.0,68.2,27142.0,74.9,51.75,89.0,3.0
46,37.0,77.0,1112.0,939.0,70.4,25270.0,88.1,56.5,43.0,18.0
47,8.0,4.0,63.0,99.0,71.9,44302.0,89.0,54.1,3.0,2.0
48,24.0,26.0,11.0,63.0,70.1,12969.0,78.5,55.349999999999994,13.0,5.0
49,12.0,13.0,370.0,374.0,70.4,25270.0,88.1,56.5,13.0,5.0
50,27.0,3.0,3.0,118.0,70.1,12969.0,78.5,55.349999999999994,43.0,3.0
51,32.0,2.0,223.0,603.0,66.0,7095.0,69.5,48.9,20.0,2.0
52,535.0,1000.0,118.0,119.0,64.7,8698.0,83.2,57.05,1093.0,1031.0
53,80.0,58.0,1011.0,907.0,70.4,25270.0,88.1,56.5,72.0,56.0
54,20.0,0,7.0,465.0,68.9,61640.0,75.0,53.650000000000006,34.0,3.0
55,243.0,364.0,616.0,381.0,60.6,2131.0,74.9,54.85,429.0,349.0
56,102.0,1.0,8.0,773.0,66.0,7095.0,69.5,48.9,43.0,1.0
57,97.0,0,25.0,512.0,74.2,34042.0,77.4,49.45,89.0,2.0
58,5.0,2.0,112.0,138.0,64.6,24165.0,84.1,44.3,3.0,0
