,o_basic,h_basic,o_neighbor,h_neighbor,aim_o,aim_h
1,18.0,5.0,0,4.0,1.0,2.0
2,13.0,2.0,43.0,124.0,18.0,2.0
3,36.0,0,11.0,105.0,14.0,5.0
4,15.0,0,221.0,378.0,30.0,1.0
5,59.0,0,10.0,106.0,68.0,3.0
6,5.0,5.0,7.0,183.0,6.0,1.0
7,61.0,51.0,567.0,1007.0,82.0,54.0
8,32.0,1.0,42.0,102.0,13.0,4.0
9,17.0,0,2.0,64.0,4.0,0
10,86.0,7.0,98.0,235.0,109.0,13.0
11,18.0,0,16.0,759.0,12.0,0
12,59.0,9.0,114.0,412.0,40.0,11.0
13,21.0,5.0,20.0,164.0,26.0,4.0
14,114.0,0,5.0,459.0,128.0,1.0
15,15.0,1.0,14.0,77.0,16.0,2.0
16,50.0,1.0,5.0,83.0,33.0,8.0
17,43.0,11.0,433.0,786.0,28.0,7.0
18,80.0,1.0,2.0,219.0,55.0,0
19,3.0,3.0,284.0,320.0,4.0,0
20,19.0,0,13.0,283.0,58.0,5.0
21,222.0,139.0,276.0,342.0,216.0,225.0
22,3.0,2.0,617.0,1282.0,11.0,9.0
23,2.0,0,123.0,649.0,3.0,2.0
24,123.0,30.0,653.0,1487.0,59.0,81.0
25,8.0,0,170.0,372.0,15.0,1.0
26,37.0,0,0,834.0,70.0,1.0
27,2.0,1.0,358.0,493.0,5.0,1.0
28,21.0,1.0,336.0,581.0,7.0,0
29,379.0,246.0,471.0,1050.0,343.0,265.0
30,131.0,54.0,728.0,1675.0,110.0,106.0
31,4.0,0,140.0,951.0,12.0,1.0
32,14.0,0,15.0,136.0,6.0,0
33,73.0,25.0,110.0,454.0,156.0,23.0
34,95.0,65.0,125.0,513.0,130.0,98.0
35,142.0,8.0,20.0,460.0,115.0,8.0
36,45.0,7.0,76.0,120.0,30.0,15.0
37,5.0,0,401.0,539.0,3.0,2.0
38,16.0,0,5.0,635.0,35.0,0
39,16.0,1.0,44.0,179.0,11.0,4.0
40,9.0,8.0,30.0,87.0,2.0,4.0
41,37.0,0,0,19.0,58.0,0
42,67.0,65.0,459.0,777.0,107.0,96.0
43,156.0,181.0,251.0,465.0,158.0,274.0
44,65.0,8.0,29.0,104.0,38.0,3.0
45,18.0,17.0,67.0,128.0,22.0,13.0
46,14.0,3.0,80.0,157.0,13.0,4.0
47,5.0,0,239.0,406.0,4.0,0
48,41.0,10.0,518.0,1017.0,48.0,9.0
49,8.0,2.0,519.0,827.0,1.0,2.0
50,4.0,2.0,26.0,171.0,6.0,6.0
51,105.0,0,0,479.0,82.0,0
52,104.0,65.0,542.0,876.0,112.0,53.0
53,51.0,15.0,555.0,986.0,28.0,7.0
54,16.0,0,25.0,169.0,7.0,0
55,12.0,0,151.0,672.0,4.0,2.0
56,16.0,0,69.0,147.0,9.0,11.0
57,91.0,1.0,10.0,61.0,42.0,3.0
58,13.0,0,48.0,168.0,2.0,0
59,114.0,18.0,108.0,701.0,136.0,36.0
60,5.0,0,49.0,245.0,3.0,0
61,10.0,7.0,254.0,368.0,17.0,6.0
62,4.0,0,20.0,42.0,3.0,1.0
63,4.0,0,3.0,79.0,4.0,0
64,5.0,5.0,160.0,416.0,9.0,3.0
65,63.0,3.0,738.0,1730.0,24.0,18.0
66,66.0,0,262.0,825.0,78.0,6.0
67,53.0,0,3.0,228.0,38.0,0
68,27.0,4.0,33.0,138.0,56.0,1.0
69,6.0,1.0,411.0,571.0,24.0,5.0
70,26.0,5.0,17.0,110.0,37.0,0
71,19.0,6.0,405.0,486.0,41.0,14.0
72,297.0,183.0,638.0,1375.0,299.0,271.0
73,180.0,0,28.0,406.0,188.0,7.0
74,15.0,3.0,503.0,1317.0,11.0,1.0
75,27.0,2.0,23.0,151.0,29.0,9.0
76,68.0,18.0,48.0,234.0,61.0,38.0
77,131.0,0,5.0,654.0,119.0,1.0
78,142.0,0,0,479.0,82.0,0
79,101.0,20.0,218.0,698.0,94.0,59.0
80,86.0,0,7.0,600.0,64.0,0
81,15.0,12.0,10.0,23.0,7.0,14.0
82,228.0,100.0,378.0,887.0,167.0,122.0
83,219.0,65.0,683.0,1323.0,179.0,86.0
84,3.0,0,276.0,319.0,2.0,0
85,9.0,1.0,33.0,65.0,10.0,4.0
86,291.0,5.0,0,474.0,354.0,5.0
87,194.0,41.0,182.0,612.0,106.0,167.0
88,109.0,0,5.0,476.0,108.0,0
89,31.0,1.0,26.0,150.0,22.0,4.0
90,337.0,0,0,284.0,365.0,4.0
91,144.0,2.0,27.0,673.0,143.0,3.0
92,28.0,15.0,68.0,137.0,13.0,18.0
93,0,8.0,621.0,1109.0,3.0,16.0
94,1.0,0,0,277.0,99.0,0
95,0,2.0,74.0,275.0,15.0,20.0
96,7.0,0,628.0,1102.0,4.0,11.0
97,0,1.0,428.0,1095.0,40.0,37.0
98,0,13.0,61.0,150.0,50.0,93.0
99,1.0,20.0,28.0,227.0,13.0,2.0
100,1.0,0,821.0,1671.0,2.0,13.0
101,2.0,9.0,72.0,141.0,93.0,93.0
102,4.0,3.0,68.0,112.0,54.0,178.0
103,1.0,4.0,70.0,113.0,35.0,175.0
104,11.0,0,24.0,148.0,244.0,519.0
105,97.0,64.0,59.0,338.0,184.0,294.0
106,0,2.0,75.0,120.0,52.0,69.0
107,2.0,1.0,70.0,98.0,107.0,126.0
108,0,2.0,47.0,236.0,21.0,3.0
109,3.0,5.0,185.0,605.0,56.0,71.0
