,o_basic,h_basic,o_neighbor,h_neighbor,household,relationship,education,marital,aim_o,aim_h
1,9.0,38.0,5.0,4.0,58.0,11917.0,79.1,47.45,9.0,6.0
2,25.0,17.0,34.0,116.0,,,,7,28.0,13.0
3,50.0,14.0,35.0,114.0,62.3,23080.0,89.6,45.900000000000006,47.0,16.0
4,6.0,0,489.0,512.0,0.0,0.0,0.0,0.0,1.0,0
5,32.0,3.0,32.0,98.0,,,,7,31.0,3.0
6,15.0,2.0,34.0,137.0,0.0,0.0,0.0,0.0,9.0,0
7,63.0,73.0,695.0,759.0,,,,7,82.0,84.0
8,72.0,15.0,29.0,100.0,,,,7,35.0,24.0
9,3.0,2.0,23.0,83.0,,,,7,5.0,0
10,112.0,14.0,143.0,285.0,62.3,23080.0,89.6,45.900000000000006,83.0,22.0
11,5.0,1.0,25.0,905.0,,,,7,9.0,1.0
12,72.0,24.0,166.0,499.0,62.3,23080.0,89.6,45.900000000000006,31.0,23.0
13,11.0,7.0,21.0,151.0,0.0,0.0,0.0,0.0,9.0,0
14,117.0,0,11.0,670.0,67.6,42939.0,78.4,54.8,146.0,0
15,8.0,5.0,14.0,84.0,,,,7,13.0,0
16,37.0,18.0,9.0,62.0,0.0,0.0,0.0,0.0,8.0,11.0
17,27.0,21.0,776.0,651.0,0.0,0.0,0.0,0.0,24.0,16.0
18,49.0,3.0,16.0,268.0,46.0,14005.0,87.9,24.8,57.0,1.0
19,2.0,0,658.0,391.0,0.0,0.0,0.0,0.0,1.0,0
20,11.0,0,35.0,231.0,0.0,0.0,0.0,0.0,27.0,8.0
21,291.0,310.0,596.0,420.0,0.0,0.0,0.0,0.0,220.0,373.0
22,18.0,15.0,992.0,1055.0,0.0,0.0,0.0,0.0,7.0,17.0
23,6.0,1.0,190.0,699.0,62.3,23080.0,89.6,45.900000000000006,4.0,0
24,63.0,94.0,986.0,1148.0,,,,7,46.0,90.0
25,9.0,3.0,390.0,443.0,0.0,0.0,0.0,0.0,7.0,0
26,82.0,0,13.0,878.0,,,,7,54.0,0
27,18.0,3.0,759.0,614.0,0.0,0.0,0.0,0.0,12.0,3.0
28,9.0,1.0,755.0,521.0,66.1,7165.0,76.1,44.5,4.0,1.0
29,242.0,272.0,696.0,781.0,,,,7,261.0,340.0
30,65.0,67.0,1224.0,1353.0,0.0,0.0,0.0,0.0,92.0,137.0
31,15.0,1.0,190.0,861.0,62.3,23080.0,89.6,45.900000000000006,2.0,0
32,16.0,2.0,80.0,125.0,0.0,0.0,0.0,0.0,12.0,5.0
33,130.0,27.0,161.0,459.0,62.3,23080.0,89.6,45.900000000000006,62.0,23.0
34,97.0,137.0,343.0,456.0,0.0,0.0,0.0,0.0,108.0,146.0
35,98.0,1.0,38.0,493.0,46.0,14005.0,87.9,24.8,32.0,4.0
36,13.0,15.0,171.0,113.0,0.0,0.0,0.0,0.0,33.0,23.0
37,5.0,6.0,882.0,663.0,0.0,0.0,0.0,0.0,3.0,4.0
38,18.0,0,15.0,729.0,67.5,53330.0,83.6,55.45,13.0,2.0
39,6.0,2.0,55.0,179.0,,,,7,6.0,12.0
40,4.0,4.0,42.0,97.0,0.0,0.0,0.0,0.0,4.0,16.0
41,58.0,0,0,11.0,,,,7,29.0,3.0
42,87.0,134.0,888.0,771.0,0.0,0.0,0.0,0.0,54.0,83.0
43,203.0,381.0,561.0,533.0,0.0,0.0,0.0,0.0,246.0,556.0
44,42.0,10.0,30.0,171.0,,,,7,72.0,8.0
45,7.0,9.0,190.0,120.0,0.0,0.0,0.0,0.0,15.0,33.0
46,19.0,4.0,159.0,113.0,0.0,0.0,0.0,0.0,10.0,17.0
47,2.0,0,568.0,385.0,0.0,0.0,0.0,0.0,1.0,2.0
48,26.0,4.0,766.0,732.0,66.1,7165.0,76.1,44.5,25.0,20.0
49,5.0,0,1007.0,846.0,0.0,0.0,0.0,0.0,4.0,8.0
50,5.0,0,149.0,113.0,0.0,0.0,0.0,0.0,5.0,0
51,104.0,0,6.0,553.0,67.4,37892.0,73.7,48.95,80.0,0
52,111.0,64.0,669.0,648.0,,,,7,111.0,147.0
