,o_basic,h_basic,o_neighbor,h_neighbor,aim_o,aim_h
1,45.0,0,25.0,118.0,15.0,1.0
2,30.0,0,8.0,104.0,12.0,0
3,4.0,20.0,787.0,734.0,5.0,12.0
4,50.0,0,7.0,68.0,40.0,7.0
5,30.0,5.0,283.0,995.0,70.0,4.0
6,475.0,1.0,9.0,758.0,326.0,3.0
7,47.0,168.0,1224.0,429.0,134.0,227.0
8,20.0,7.0,783.0,1130.0,12.0,4.0
9,145.0,95.0,66.0,193.0,152.0,51.0
10,32.0,45.0,567.0,689.0,20.0,33.0
11,11.0,13.0,650.0,294.0,4.0,12.0
12,17.0,0,56.0,567.0,30.0,0
13,11.0,1.0,39.0,136.0,1.0,0
14,46.0,48.0,1486.0,704.0,36.0,52.0
15,7.0,1.0,11.0,171.0,11.0,1.0
16,19.0,0,22.0,233.0,16.0,0
17,12.0,2.0,31.0,185.0,18.0,0
18,154.0,500.0,942.0,379.0,170.0,464.0
19,1.0,0,19.0,132.0,1.0,0
20,46.0,54.0,496.0,309.0,30.0,26.0
21,95.0,51.0,139.0,419.0,70.0,13.0
22,36.0,0,168.0,564.0,33.0,0
23,85.0,7.0,4.0,165.0,35.0,2.0
24,114.0,42.0,756.0,1278.0,74.0,35.0
25,76.0,2.0,13.0,1545.0,66.0,0
26,29.0,0,6.0,147.0,22.0,0
27,11.0,0,15.0,147.0,5.0,0
28,14.0,0,28.0,182.0,7.0,3.0
29,54.0,15.0,3.0,24.0,45.0,11.0
30,4.0,0,11.0,182.0,10.0,0
31,33.0,1.0,192.0,583.0,7.0,3.0
32,60.0,3.0,293.0,1043.0,11.0,0
33,254.0,321.0,624.0,815.0,293.0,433.0
34,8.0,0,178.0,746.0,34.0,3.0
35,116.0,4.0,9.0,347.0,172.0,2.0
36,39.0,95.0,879.0,725.0,56.0,62.0
37,11.0,0,19.0,122.0,8.0,0
38,9.0,24.0,1649.0,657.0,7.0,5.0
39,16.0,4.0,746.0,1293.0,5.0,2.0
40,41.0,56.0,1632.0,647.0,37.0,50.0
41,43.0,8.0,25.0,117.0,41.0,0
42,33.0,1.0,3.0,33.0,20.0,10.0
43,1.0,1.0,39.0,167.0,1.0,0
44,56.0,7.0,156.0,314.0,53.0,19.0
45,70.0,33.0,1448.0,712.0,45.0,29.0
46,262.0,3.0,4.0,800.0,188.0,1.0
47,32.0,71.0,1299.0,995.0,41.0,96.0
48,10.0,1.0,55.0,172.0,2.0,1.0
49,11.0,2.0,16.0,86.0,12.0,15.0
50,9.0,16.0,494.0,465.0,13.0,23.0
51,2.0,0,19.0,131.0,1.0,1.0
52,59.0,0,8.0,170.0,55.0,1.0
53,42.0,1.0,173.0,1107.0,11.0,0
54,552.0,1358.0,128.0,203.0,360.0,1233.0
55,162.0,99.0,934.0,950.0,57.0,64.0
